,style_id,most_expensive,least_expensive,ajio,amazon,flipkart,limeroad,myntra,paytm,snapdeal
0,Os206_3141,Equal,Equal,2295,2295,2295,2295,2295,2295,2295
1,Os223_3142,Equal,Equal,2295,2295,2295,2295,2295,2295,2295
2,Os212_3143,Equal,Equal,2295,2295,2295,2295,2295,2295,2295
3,Os214_3144,Equal,Equal,2295,2295,2295,2295,2295,2295,2295
4,Os207_3145,Equal,Equal,2295,2295,2295,2295,2295,2295,2295
5,Os202_3146,Equal,Equal,2295,2295,2295,2295,2295,2295,2295
6,Os181_5051,Equal,Equal,1895,1895,1895,1895,1895,1895,1895
7,Os191_5052,Equal,Equal,1895,1895,1895,1895,1895,1895,1895
8,Os197_5053,Equal,Equal,1895,1895,1895,1895,1895,1895,1895
9,OS219_5054,Equal,Equal,1895,1895,1895,1895,1895,1895,1895
10,Os195_5055,Equal,Equal,1895,1895,1895,1895,1895,1895,1895
11,Os189_5056,Equal,Equal,1895,1895,1895,1895,1895,1895,1895
12,Os182_5057,Equal,Equal,1895,1895,1895,1895,1895,1895,1895
13,Os209_5058,Equal,Equal,1895,1895,1895,1895,1895,1895,1895
14,Os218_3151,Equal,Equal,2195,2195,2195,2195,2195,2195,2195
15,Os201_3152,Equal,Equal,2195,2195,2195,2195,2195,2195,2195
16,Os175_3153,Equal,Equal,2195,2195,2195,2195,2195,2195,2195
17,Os220_3154,Equal,Equal,2195,2195,2195,2195,2195,2195,2195
18,Os174_3155,Equal,Equal,2195,2195,2195,2195,2195,2195,2195
19,Os222_3156,Equal,Equal,2195,2195,2195,2195,2195,2195,2195
20,Os228_1432,Equal,Equal,2495,2495,2495,2495,2495,2495,2495
21,Os227_1437,Equal,Equal,2495,2495,2495,2495,2495,2495,2495
22,OS224_1433,Equal,Equal,2495,2495,2495,2495,2495,2495,2495
23,Os232_1431,Equal,Equal,2495,2495,2495,2495,2495,2495,2495
24,Os226_1436,Equal,Equal,2495,2495,2495,2495,2495,2495,2495
25,Os230_1438,Equal,Equal,2495,2495,2495,2495,2495,2495,2495
26,Os225_1434,Equal,Equal,2495,2495,2495,2495,2495,2495,2495
27,Os229_1435,Equal,Equal,2495,2495,2495,2495,2495,2495,2495
28,Os200_5041,Equal,Equal,1595,1595,1595,1595,1595,1595,1595
29,Os188_5042,Equal,Equal,1595,1595,1595,1595,1595,1595,1595
30,Os208_5043,Equal,Equal,1595,1595,1595,1595,1595,1595,1595
31,Os183_5044,Equal,Equal,1595,1595,1595,1595,1595,1595,1595
32,Os199_5046,Equal,Equal,1595,1595,1595,1595,1595,1595,1595
33,Os170_5048,Equal,Equal,1595,1595,1595,1595,1595,1595,1595
34,Os235_1112,Equal,Equal,3995,3995,3995,3995,3995,3995,3995
35,Os233_1058,Equal,Equal,3995,3995,3995,3995,3995,3995,3995
36,Os179_1116,Equal,Equal,2395,2395,2395,2395,2395,2395,2395
37,Os210_3137,Equal,Equal,2195,2195,2195,2195,2195,2195,2195
38,Os177_1057,Equal,Equal,2995,2995,2995,2995,2995,2995,2995
39,Os180_3134,Equal,Equal,2195,2195,2195,2195,2195,2195,2195
40,Os178_1115,Equal,Equal,2495,2495,2495,2495,2495,2495,2495
41,Os211_3011,Equal,Equal,1995,1995,1995,1995,1995,1995,1995
42,Os171_1096,Equal,Equal,2395,2395,2395,2395,2395,2395,2395
43,Os184_1127,Equal,Equal,2295,2295,2295,2295,2295,2295,2295
44,Os231_1384,Equal,Equal,2795,2795,2795,2795,2795,2795,2795
45,Os186_1377,Equal,Equal,2295,2295,2295,2295,2295,2295,2295
46,Os185_1105,Equal,Equal,2295,2295,2295,2295,2295,2295,2295
47,Os190_1128,Equal,Equal,2295,2295,2295,2295,2295,2295,2295
48,Os172_1092,Equal,Equal,2295,2295,2295,2295,2295,2295,2295
49,Os176_1015,Equal,Equal,3095,3095,3095,3095,3095,3095,3095
50,Os196_1371,Equal,Equal,2295,2295,2295,2295,2295,2295,2295
51,Os193_1062,Equal,Equal,2395,2395,2395,2395,2395,2395,2395
52,Os205_1054,Equal,Equal,2395,2395,2395,2395,2395,2395,2395
53,Os203_1100,Equal,Equal,2395,2395,2395,2395,2395,2395,2395
54,Os204_3091,Equal,Equal,2395,2395,2395,2395,2395,2395,2395
55,Os160,Paytm,Equal,1695,1695,1695,1795,1695,1895,1695
56,Os162,Paytm,Equal,1695,1695,1695,1795,1695,1895,1695
57,Os110_14253,Equal,Equal,1595,1595,1595,1595,1595,1595,1595
58,Os117_3063,Equal,Equal,1595,1595,1595,1595,1595,1595,1595
59,Os122_1736,Limeroad,Equal,1895,1895,1895,1995,1895,1895,1895
60,Os119_3094,Equal,Equal,1895,1895,1895,1995,1895,1895,1995
61,Os120_14412,Limeroad,Equal,1895,1895,1895,1995,1895,1895,1895
62,Os126_14249,Equal,Equal,1595,1595,1595,1595,1595,1595,1595
63,Os132_1866,Equal,Equal,1195,1195,1195,1195,1195,1195,1195
64,Os116_14254,Equal,Equal,1595,1595,1595,1595,1595,1595,1595
65,Os113_3090,Equal,Equal,1995,1995,1995,2095,1995,1995,2095
66,Os111_3074,Equal,Equal,1895,1895,1895,1995,1895,1895,1995
67,Os123_1332,Equal,Equal,1595,1595,1595,1595,1595,1595,1595
68,Os141_1331,Equal,Equal,1595,1595,1595,1595,1595,1595,1595
69,Os102_14255,Equal,Equal,1595,1595,1595,1595,1595,1595,1595
